,S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2890,2890,Ford EcoSport 1.5,Coimbatore,2018,27852,Petrol,Automatic,First,14,1497,121,5,10
2892,2892,Hyundai i20 Sportz,Coimbatore,2011,68439,Diesel,Manual,First,23,1396,90,5,3
2893,2893,Toyota Innova 2.5,Delhi,2011,150000,Diesel,Manual,First,12,2494,100,8,7
2894,2894,Tata Nexon 1.5,Mumbai,2018,14000,Diesel,Manual,First,21,1497,108,5,10
2895,2895,Ford Figo Diesel,Hyderabad,2012,71558,Diesel,Manual,First,20,1399,68,5,3
2896,2896,Porsche Panamera Diesel,Delhi,2013,48000,Diesel,Automatic,Second,17,2967,300,4,50
2897,2897,Hyundai Creta 1.6,Jaipur,2015,65800,Diesel,Automatic,First,17,1582,126,5,12
2898,2898,Audi A4 2.0,Hyderabad,2014,53000,Diesel,Automatic,First,16,1968,140,5,20
2899,2899,Mahindra XUV500 W8,Kolkata,2017,14600,Diesel,Manual,First,16,2179,140,7,14
2900,2900,Isuzu MUX 4WD,Jaipur,2017,34429,Diesel,Automatic,First,13,2999,174,7,20
2901,2901,Maruti Swift Dzire,Delhi,2014,52000,Diesel,Manual,First,23,1248,74,5,5
2902,2902,Maruti Ciaz ZXi,Kolkata,2015,25470,Petrol,Manual,First,20,1373,91,5,6
2903,2903,Hyundai EON Era,Pune,2013,22000,Petrol,Manual,First,21,814,55,5,3
2904,2904,Mercedes-Benz E-Class 280,Chennai,2007,75000,Diesel,Automatic,First,11,2987,198,5,11
2905,2905,BMW 5 Series,Pune,2011,95995,Diesel,Automatic,First,18,1995,177,5,16
2906,2906,Hyundai Grand i10,Jaipur,2017,26877,Diesel,Manual,First,24,1186,73,5,6
2907,2907,Jaguar XJ 3.0L,Hyderabad,2015,26000,Diesel,Automatic,First,14,2993,301,5,75
2908,2908,Maruti Swift Ldi,Chennai,2007,140000,Diesel,Manual,Second,17,1248,75,5,2
2909,2909,Hyundai Santro Xing,Hyderabad,2008,95291,Petrol,Manual,First,17,1086,62,5,2
2910,2910,Toyota Innova 2.5,Hyderabad,2009,135000,Diesel,Manual,Second,12,2494,102,8,8
2911,2911,Hyundai i20 Sportz,Kolkata,2015,32000,Petrol,Manual,First,18,1197,81,5,5
2912,2912,Mercedes-Benz E-Class 280,Mumbai,2008,68333,Diesel,Automatic,Second,11,2987,198,5,8
2913,2913,Ford Figo Diesel,Chennai,2011,72000,Diesel,Manual,First,20,1399,68,5,3
2914,2914,Toyota Corolla Altis,Ahmedabad,2012,52100,Diesel,Manual,First,21,1364,86,5,6
2915,2915,Hyundai Grand i10,Jaipur,2018,10000,Petrol,Manual,First,18,1197,81,5,6
2916,2916,Jeep Compass 2.0,Coimbatore,2019,6261,Diesel,Manual,First,16,1956,170,5,24
2917,2917,Maruti Ignis 1.2,Coimbatore,2019,3906,Petrol,Automatic,First,20,1197,81,5,7
2918,2918,Toyota Fortuner 3.0,Pune,2014,55960,Diesel,Manual,First,11,2982,171,7,17
2919,2919,Volkswagen Vento Diesel,Jaipur,2013,144000,Diesel,Manual,First,20,1598,103,5,7
2920,2920,Toyota Innova Crysta,Mumbai,2017,38000,Diesel,Manual,First,13,2393,147,7,18
2921,2921,Ford Figo Diesel,Jaipur,2013,51000,Diesel,Manual,First,20,1399,68,5,2
2922,2922,Toyota Platinum Etios,Hyderabad,2015,150000,Diesel,Manual,First,23,1364,67,5,6
2923,2923,Mahindra Thar DI,Mumbai,2018,2500,Diesel,Manual,First,18,2523,63,7,8
2924,2924,Land Rover Range,Kochi,2018,41661,Diesel,Automatic,First,12,2179,187,5,45
2925,2925,BMW 3 Series,Delhi,2011,64000,Diesel,Automatic,First,16,1995,181,5,10
2926,2926,Hyundai Accent GLS,Bangalore,2008,80000,Petrol,Manual,Second,13,1495,94,5,2
2927,2927,Maruti Celerio ZXI,Jaipur,2016,30000,Petrol,Automatic,Second,23,998,67,5,4
2928,2928,Jaguar XF 2.2,Chennai,2014,43000,Diesel,Automatic,Second,16,2179,187,5,26
2929,2929,Audi A6 2.7,Bangalore,2013,90000,Diesel,Automatic,Second,12,2698,179,5,22
2930,2930,Nissan Micra Diesel,Hyderabad,2011,123880,Diesel,Manual,First,23,1461,63,5,3
2931,2931,Honda Amaze S,Jaipur,2015,42000,Petrol,Manual,Second,18,1198,86,5,4
2932,2932,Renault Duster 85PS,Chennai,2012,79824,Diesel,Manual,First,19,1461,83,5,5
2933,2933,Toyota Innova 2.5,Jaipur,2015,75000,Diesel,Manual,First,12,2494,100,8,12
2934,2934,Honda Amaze E,Ahmedabad,2014,72411,Petrol,Manual,First,18,1198,86,5,4
2935,2935,Mercedes-Benz New C-Class,Delhi,2012,63000,Diesel,Automatic,First,14,2143,204,5,14
2936,2936,Toyota Etios Liva,Chennai,2015,53713,Petrol,Manual,First,17,1197,78,5,4
2937,2937,Toyota Innova Crysta,Delhi,2017,18000,Diesel,Automatic,First,11,2755,171,8,18
2938,2938,Mercedes-Benz New C-Class,Bangalore,2013,51000,Diesel,Manual,First,15,2148,170,5,18
2939,2939,Maruti Swift VXI,Chennai,2008,86700,Petrol,Manual,Second,16,1298,88,5,2
2940,2940,Maruti Baleno Alpha,Kolkata,2016,29000,Diesel,Manual,First,27,1248,74,5,6
2941,2941,Hyundai Santro Xing,Hyderabad,2014,56000,LPG,Manual,First,13,1086,62,5,3
2942,2942,Maruti Celerio VXI,Mumbai,2015,33000,Petrol,Automatic,First,23,998,67,5,4
2943,2943,Ford Ecosport 1.5,Kochi,2014,64394,Diesel,Manual,First,22,1498,89,5,5
2944,2944,Tata Manza Aura,Hyderabad,2010,76000,Diesel,Manual,First,18,1248,90,5,3
2945,2945,Honda Jazz 1.5,Mumbai,2016,48719,Diesel,Manual,First,27,1498,98,5,6
2946,2946,Mahindra XUV500 W8,Coimbatore,2016,59711,Diesel,Manual,First,15,2179,140,7,13
2947,2947,Nissan Micra Diesel,Hyderabad,2012,83000,Diesel,Manual,First,23,1461,63,5,4
2948,2948,Mercedes-Benz New C-Class,Coimbatore,2018,10714,Diesel,Automatic,First,19,2143,167,5,40
2949,2949,Tata Manza Aura,Hyderabad,2010,127510,Diesel,Manual,Second,19,1248,90,5,1
2950,2950,Maruti Swift VDI,Kolkata,2014,35010,Diesel,Manual,First,22,1248,74,5,4
2951,2951,Maruti Swift Dzire,Jaipur,2012,75451,Petrol,Manual,First,17,1197,85,5,4
2952,2952,Tata Indigo eCS,Pune,2015,83000,Diesel,Manual,First,19,1405,69,5,3
2953,2953,Honda Amaze S,Kolkata,2013,38755,Diesel,Manual,First,25,1498,98,5,3
2954,2954,Maruti Swift VXI,Delhi,2016,30000,Petrol,Manual,First,20,1197,81,5,5
2955,2955,Maruti Ertiga ZDI,Chennai,2012,40000,Diesel,Manual,First,20,1248,88,7,7
2956,2956,Hyundai Grand i10,Kolkata,2014,19500,Petrol,Manual,Second,18,1197,82,5,3
2957,2957,Nissan Micra Active,Ahmedabad,2016,41000,Petrol,Manual,First,19,1198,67,5,4
2958,2958,Hyundai Grand i10,Bangalore,2014,30000,Petrol,Manual,Second,18,1197,82,5,5
2959,2959,Jeep Compass 2.0,Hyderabad,2017,37000,Diesel,Manual,First,17,1956,170,5,17
2960,2960,Volkswagen Polo Diesel,Delhi,2014,62000,Diesel,Manual,Second,22,1199,73,5,4
2961,2961,Honda Amaze S,Pune,2015,42023,Petrol,Automatic,First,15,1198,86,5,4
2962,2962,BMW X3 xDrive20d,Kolkata,2012,51001,Diesel,Automatic,First,16,1995,184,5,17
2963,2963,BMW 3 Series,Kochi,2017,55389,Diesel,Automatic,First,18,1995,184,5,28
2964,2964,Honda City V,Kochi,2014,46728,Petrol,Automatic,First,15,1497,116,5,6
2965,2965,Mahindra Ssangyong Rexton,Kochi,2014,58995,Diesel,Manual,First,12,2696,162,7,9
2966,2966,Maruti Swift Dzire,Delhi,2015,37857,Diesel,Manual,First,26,1248,74,5,5
2967,2967,Maruti Swift VDI,Jaipur,2014,71000,Diesel,Manual,First,25,1248,74,5,5
2968,2968,Honda Brio S,Pune,2012,49024,Petrol,Manual,First,18,1198,86,5,2
2969,2969,Hyundai Grand i10,Mumbai,2016,10770,Petrol,Manual,First,18,1197,82,5,5
2970,2970,Tata Zest Quadrajet,Pune,2017,72000,Diesel,Manual,First,22,1248,74,5,5
2971,2971,Hyundai EON Era,Jaipur,2015,91000,Petrol,Manual,First,21,814,55,5,2
2972,2972,Hyundai i20 1.2,Mumbai,2017,14000,Petrol,Manual,First,18,1197,81,5,6
2973,2973,Volvo S60 D4,Delhi,2014,48000,Diesel,Automatic,Second,9,1984,181,5,16
2974,2974,Ford Ecosport 1.5,Delhi,2014,75136,Diesel,Manual,First,22,1498,89,5,6
2975,2975,Maruti Ritz VXI,Hyderabad,2014,32500,Petrol,Manual,Second,21,1197,85,5,4
2976,2976,Hyundai i20 1.4,Hyderabad,2010,94500,Diesel,Manual,Second,21,1396,90,5,3
2977,2977,Maruti Dzire VXI,Hyderabad,2013,34900,Petrol,Manual,First,22,1197,81,5,5
2978,2978,Porsche Panamera 2010,Coimbatore,2010,42400,Petrol,Automatic,Third,8,4806,394,4,43
2979,2979,Maruti Swift VDi,Jaipur,2015,50000,Diesel,Manual,First,17,1248,75,5,6
2980,2980,Honda Brio S,Kolkata,2014,35000,Petrol,Manual,First,19,1198,86,5,3
2981,2981,Chevrolet Beat LS,Bangalore,2012,37000,Petrol,Manual,Second,18,1199,79,5,2
2982,2982,Hyundai Creta 1.6,Coimbatore,2018,32807,Petrol,Automatic,First,13,1591,121,5,15
2983,2983,Honda City ZX,Pune,2008,119000,Petrol,Manual,Second,17,1497,78,5,2
2984,2984,Maruti Ritz LXi,Mumbai,2016,12000,Petrol,Manual,First,18,1197,85,5,4
2985,2985,Ford EcoSport 1.5,Delhi,2016,46727,Diesel,Manual,First,22,1498,98,5,7
2986,2986,BMW 3 Series,Hyderabad,2010,73336,Diesel,Automatic,First,13,1995,170,5,11
2987,2987,Hyundai Verna 1.6,Mumbai,2014,9000,Petrol,Manual,Second,17,1591,121,5,6
2988,2988,Toyota Innova 2.5,Chennai,2005,240000,Diesel,Manual,Fourth & Above,12,2494,102,8,5
2989,2989,Maruti Wagon R,Mumbai,2014,25422,Petrol,Manual,First,22,998,67,5,3
2990,2990,Maruti Ertiga VDI,Mumbai,2018,14000,Diesel,Manual,First,25,1248,88,7,9
2991,2991,Maruti Alto LXi,Hyderabad,2008,66000,Petrol,Manual,First,19,796,46,5,2
2992,2992,Maruti A-Star Vxi,Kochi,2010,55324,Petrol,Manual,First,19,998,66,5,3
2993,2993,BMW X5 3.0d,Bangalore,2009,90000,Diesel,Automatic,First,11,2993,235,5,18
2994,2994,Mahindra KUV 100,Kolkata,2017,43000,Petrol,Manual,First,18,1198,82,5,4
2995,2995,Hyundai i10 Magna,Bangalore,2008,58483,Petrol,Automatic,Second,19,1197,80,5,3
2996,2996,Honda Civic 2006-2010,Pune,2007,93000,Petrol,Automatic,Second,12,1799,130,5,3
2997,2997,Hyundai i10 Sportz,Hyderabad,2010,50000,Petrol,Manual,First,20,1197,78,5,3
2998,2998,Mercedes-Benz New C-Class,Ahmedabad,2014,78616,Diesel,Automatic,Second,14,2143,170,5,16
2999,2999,Toyota Etios G,Pune,2011,37000,Petrol,Manual,First,17,1496,88,5,3
3000,3000,Honda City 1.5,Kolkata,2010,54801,Petrol,Manual,First,17,1497,118,5,2
3001,3001,Maruti Swift Dzire,Bangalore,2014,29000,Diesel,Manual,First,23,1248,74,5,6
3002,3002,Maruti Swift VXI,Pune,2010,68000,Petrol,Manual,First,22,1197,81,5,3
3003,3003,Hyundai Verna 1.6,Kolkata,2014,58000,Petrol,Manual,First,17,1591,121,5,5
3004,3004,Maruti Ritz VDi,Pune,2012,64290,Diesel,Manual,First,23,1248,73,5,4
3005,3005,Toyota Fortuner 4x2,Mumbai,2015,31000,Diesel,Manual,First,13,2982,168,7,20
3006,3006,Jeep Compass 2.0,Pune,2018,16039,Diesel,Manual,First,17,1956,170,5,18
3007,3007,Hyundai i20 Asta,Hyderabad,2017,19860,Petrol,Manual,First,18,1197,81,5,7
3008,3008,Maruti Wagon R,Delhi,2014,48500,CNG,Manual,Second,26,998,58,5,3
3009,3009,Tata New Safari,Jaipur,2012,75391,Diesel,Manual,First,13,2179,138,7,4
3010,3010,Maruti Swift Dzire,Jaipur,2008,78000,Diesel,Manual,Second,19,1248,73,5,2
3011,3011,Tata Indigo eCS,Kolkata,2016,78000,Diesel,Manual,First,25,1396,69,5,2
3012,3012,Maruti Swift LDI,Hyderabad,2016,52000,Diesel,Manual,First,28,1248,74,5,6
3013,3013,Maruti Celerio VXI,Kolkata,2016,30000,Petrol,Automatic,First,23,998,67,5,3
3014,3014,BMW 5 Series,Coimbatore,2016,19254,Diesel,Automatic,First,14,2993,258,5,48
3015,3015,Volkswagen Polo 1.2,Coimbatore,2015,29651,Petrol,Manual,First,16,1198,74,5,6
3016,3016,Tata Safari DICOR,Bangalore,2011,80000,Diesel,Manual,First,13,2179,138,7,4
3017,3017,Mini Cooper S,Kolkata,2018,2971,Petrol,Automatic,First,13,1598,181,4,40
3018,3018,Ford Figo Petrol,Kolkata,2015,21400,Petrol,Manual,First,15,1196,70,5,4
3019,3019,Honda City i,Ahmedabad,2015,77000,Diesel,Manual,First,26,1498,98,5,7
3020,3020,Hyundai Tucson CRDi,Delhi,2006,80000,Diesel,Manual,Second,12,1991,112,7,2
3021,3021,Skoda Laura Ambiente,Delhi,2013,81755,Diesel,Manual,First,20,1968,108,5,5
3022,3022,Toyota Fortuner 3.0,Hyderabad,2016,99593,Diesel,Manual,First,11,2982,171,7,24
3023,3023,Hyundai Verna 1.6,Hyderabad,2014,39791,Diesel,Manual,First,22,1582,126,5,7
3024,3024,Mahindra XUV500 W6,Hyderabad,2015,113000,Diesel,Manual,First,15,2179,140,7,11
3025,3025,Renault KWID RXT,Mumbai,2017,24000,Petrol,Manual,First,25,799,53,5,4
3026,3026,Hyundai i20 Asta,Bangalore,2015,39000,Petrol,Manual,Second,18,1197,81,5,6
3027,3027,Honda City V,Bangalore,2012,37000,Petrol,Automatic,First,15,1497,116,5,7
3028,3028,Ford Endeavour 3.2,Coimbatore,2017,61108,Diesel,Automatic,First,10,3198,197,7,29
3029,3029,Skoda Superb Elegance,Kochi,2016,61648,Petrol,Automatic,First,13,1798,157,5,14
3030,3030,BMW 3 Series,Mumbai,2012,37000,Diesel,Automatic,Third,22,1995,190,5,15
3031,3031,Maruti Ertiga VXI,Mumbai,2013,53000,CNG,Manual,First,22,1373,80,7,6
3032,3032,Maruti Ritz LDi,Jaipur,2013,65000,Diesel,Manual,First,23,1248,73,5,4
3034,3034,Toyota Fortuner 3.0,Jaipur,2011,148009,Diesel,Manual,Second,11,2982,171,7,13
3035,3035,Maruti Swift Lxi,Mumbai,2009,53001,Petrol,Manual,First,16,1298,88,5,2
3036,3036,Tata Tigor 1.2,Mumbai,2018,22345,Petrol,Manual,First,20,1199,84,5,5
3037,3037,Honda City i,Delhi,2015,50000,Petrol,Automatic,First,18,1497,117,5,8
3038,3038,BMW 3 Series,Hyderabad,2013,48183,Diesel,Automatic,First,13,1995,170,5,21
3039,3039,Mercedes-Benz E-Class 2009-2013,Hyderabad,2010,93000,Diesel,Automatic,Second,14,2143,203,5,18
3040,3040,Maruti Swift VDI,Kochi,2015,53500,Diesel,Manual,First,28,1248,74,5,5
3041,3041,Maruti Ertiga VXI,Delhi,2014,17585,Petrol,Manual,First,16,1373,93,7,6
3042,3042,Hyundai Verna 1.6,Kolkata,2011,36226,Petrol,Manual,First,17,1591,121,5,3
3043,3043,Land Rover Discovery,Coimbatore,2019,25899,Diesel,Automatic,First,12,2179,147,5,56
3044,3044,Hyundai Santro Xing,Kolkata,2009,60170,Petrol,Manual,First,0,1086,62,5,1
3045,3045,Mercedes-Benz New C-Class,Hyderabad,2017,11200,Diesel,Automatic,First,19,2143,167,5,38
3046,3046,Hyundai i10 Magna,Kochi,2017,49045,Petrol,Manual,First,20,1197,78,5,4
3047,3047,Volkswagen Polo Diesel,Kolkata,2012,45000,Diesel,Manual,First,22,1199,73,5,3
3048,3048,Maruti Vitara Brezza,Delhi,2017,40000,Diesel,Manual,First,24,1248,88,5,8
3049,3049,Renault Duster 85PS,Mumbai,2016,36600,Diesel,Manual,First,19,1461,83,5,7
3050,3050,Tata Indica Vista,Jaipur,2009,117000,Diesel,Manual,First,18,1248,75,5,1
3051,3051,Mercedes-Benz GL-Class 350,Delhi,2016,16000,Diesel,Automatic,First,11,2987,254,7,56
3052,3052,Hyundai Xcent 1.2,Mumbai,2016,50000,Diesel,Manual,First,25,1186,73,5,4
3053,3053,Hyundai Verna CRDi,Hyderabad,2008,150000,Diesel,Manual,First,18,1493,110,5,3
3054,3054,Hyundai Verna 1.6,Mumbai,2014,11000,Petrol,Manual,First,17,1591,121,5,6
3055,3055,Ford Figo Petrol,Bangalore,2010,102016,Petrol,Manual,First,15,1196,70,5,2
3056,3056,Maruti Swift VDI,Chennai,2016,38000,Diesel,Manual,First,25,1248,74,5,6
3057,3057,Renault Pulse RxL,Hyderabad,2013,71491,Diesel,Manual,First,23,1461,63,5,5
3058,3058,Volkswagen Polo 1.2,Bangalore,2015,46354,Petrol,Manual,Second,16,1198,74,5,5
3059,3059,BMW 3 Series,Delhi,2019,87000,Diesel,Automatic,First,22,1995,190,5,7
3060,3060,Skoda Rapid 1.6,Ahmedabad,2015,20765,Petrol,Manual,First,15,1598,103,5,6
3062,3062,Audi Q7 3.0,Coimbatore,2014,51076,Diesel,Automatic,First,12,2967,241,7,35
3063,3063,Maruti Ciaz VDi,Jaipur,2016,84085,Diesel,Manual,First,26,1248,88,5,7
3064,3064,Honda City i,Kolkata,2014,55000,Diesel,Manual,First,25,1498,98,5,6
3065,3065,Mercedes-Benz E-Class 2009-2013,Mumbai,2010,73000,Petrol,Automatic,First,10,3498,272,5,10
3066,3066,Audi A6 2011-2015,Pune,2012,50001,Diesel,Automatic,First,14,2967,241,5,29
3067,3067,Mahindra Xylo H4,Coimbatore,2016,93166,Diesel,Manual,Second,14,2179,118,7,6
3068,3068,Honda City 1.5,Kochi,2006,99583,Petrol,Automatic,Third,12,1493,100,5,2
3069,3069,Maruti SX4 ZXI,Mumbai,2010,72000,Petrol,Manual,First,15,1586,103,5,2
3070,3070,Toyota Corolla Altis,Pune,2009,70000,Petrol,Manual,Third,14,1798,138,5,3
3071,3071,Volkswagen Vento Petrol,Pune,2012,61000,Petrol,Automatic,Second,14,1598,103,5,4
3072,3072,Hyundai EON Era,Pune,2015,66510,Petrol,Manual,First,21,814,55,5,3
3073,3073,Skoda Laura Ambition,Hyderabad,2011,84062,Diesel,Manual,First,20,1968,108,5,6
3074,3074,Maruti Swift VDI,Hyderabad,2012,80799,Diesel,Manual,First,22,1248,74,5,5
3075,3075,Toyota Corolla Altis,Kolkata,2018,5000,Petrol,Automatic,First,14,1798,138,5,17
3076,3076,Toyota Innova 2.5,Hyderabad,2013,92000,Diesel,Manual,First,12,2494,100,8,12
3077,3077,Tata Tiago Wizz,Hyderabad,2017,53000,Diesel,Manual,First,27,1047,69,5,5
3078,3078,Skoda Rapid 1.6,Mumbai,2015,39822,Petrol,Manual,First,15,1598,103,5,5
3079,3079,Ford Endeavour 3.2,Mumbai,2016,29000,Diesel,Automatic,First,10,3198,197,7,30
3080,3080,Renault KWID RXL,Kochi,2017,24214,Petrol,Manual,Second,25,799,53,5,3
3081,3081,Hyundai i20 1.4,Pune,2012,75000,Diesel,Manual,First,23,1396,90,5,4
3082,3082,Skoda Laura Ambiente,Chennai,2012,77216,Diesel,Manual,Second,17,1896,106,5,4
3083,3083,Toyota Corolla Altis,Kochi,2013,74290,Diesel,Manual,First,21,1364,87,5,6
3084,3084,Mahindra Scorpio S8,Delhi,2015,61000,Diesel,Manual,First,15,2179,120,8,10
3085,3085,Audi Q5 2.0,Chennai,2013,44000,Diesel,Automatic,First,14,1968,174,5,32
3086,3086,Chevrolet Enjoy TCDi,Coimbatore,2014,74041,Diesel,Manual,First,18,1248,73,8,4
3087,3087,BMW 3 Series,Coimbatore,2013,85846,Diesel,Automatic,First,22,1995,190,5,13
3088,3088,Nissan Sunny 2011-2014,Delhi,2012,52000,Diesel,Manual,First,21,1461,84,5,4
3089,3089,Honda Accord 2.4,Mumbai,2010,47000,Petrol,Manual,Second,12,2354,177,5,4
3090,3090,Hyundai Verna CRDi,Bangalore,2010,72010,Diesel,Manual,First,16,1493,110,5,4
3091,3091,Maruti Omni E,Jaipur,2015,15000,Petrol,Manual,First,16,796,34,8,2
3092,3092,Honda City i,Kolkata,2015,480000,Petrol,Manual,First,17,1497,117,5,5
3093,3093,Audi A7 2011-2015,Kolkata,2012,24720,Diesel,Automatic,Second,0,2967,241,5,28
3094,3094,Ford Fiesta 1.4,Chennai,2007,75000,Petrol,Manual,Second,16,1388,68,5,2
3095,3095,Hyundai i20 1.4,Mumbai,2015,57000,Diesel,Manual,First,22,1396,88,5,6
3096,3096,Mercedes-Benz E-Class E250,Kochi,2015,41057,Diesel,Automatic,First,13,2143,201,5,25
3097,3097,Maruti Wagon R,Pune,2012,92000,CNG,Manual,Second,26,998,58,5,3
3098,3098,Ford EcoSport 1.5,Chennai,2016,20000,Diesel,Manual,First,22,1498,98,5,8
3099,3099,Hyundai i20 1.2,Mumbai,2011,52359,Petrol,Manual,First,18,1197,80,5,3
3100,3100,Honda City i,Delhi,2016,17000,Petrol,Manual,Second,17,1497,117,5,8
3101,3101,Nissan Micra Diesel,Kolkata,2011,39002,Diesel,Manual,First,23,1461,63,5,3
3102,3102,Ford Figo Diesel,Pune,2010,129986,Diesel,Manual,Second,20,1399,68,5,3
3103,3103,Nissan Micra XL,Kolkata,2013,45000,Petrol,Manual,First,18,1198,75,5,2
3105,3105,Honda Accord 2.4,Ahmedabad,2009,82002,Petrol,Manual,Second,12,2354,177,5,6
3106,3106,Skoda Superb Elegance,Mumbai,2010,67000,Petrol,Automatic,First,13,1798,157,5,5
3107,3107,Maruti Omni 8,Hyderabad,2017,21260,Petrol,Manual,First,14,796,35,5,3
3108,3108,Hyundai i20 Magna,Ahmedabad,2012,55362,Diesel,Manual,First,21,1396,88,5,4
3109,3109,Hyundai Creta 1.6,Chennai,2017,13000,Diesel,Automatic,First,17,1582,126,5,14
3110,3110,Maruti Swift VDI,Kochi,2016,45725,Diesel,Manual,First,25,1248,74,5,5
3111,3111,Maruti Swift LDI,Jaipur,2014,105000,Diesel,Manual,First,25,1248,74,5,4
3112,3112,Toyota Innova 2.5,Hyderabad,2009,156056,Diesel,Manual,First,12,2494,102,8,8
3113,3113,Hyundai Xcent 1.1,Mumbai,2016,135000,Diesel,Manual,First,24,1120,71,5,4
3114,3114,Maruti Ertiga Paseo,Delhi,2016,67000,Diesel,Manual,First,20,1248,88,7,7
3115,3115,Ford Endeavour 3.2,Jaipur,2016,90000,Diesel,Automatic,First,10,3198,197,7,26
3116,3116,Hyundai i20 1.4,Coimbatore,2019,32251,Diesel,Manual,First,22,1396,88,5,9
3117,3117,Maruti Zen Estilo,Mumbai,2009,47000,Petrol,Manual,First,19,998,67,5,1
3118,3118,Maruti Ritz VDi,Mumbai,2011,75308,Diesel,Manual,Second,21,1248,73,5,3
3119,3119,Maruti Alto K10,Kochi,2018,44202,CNG,Manual,First,32,998,58,4,4
3120,3120,Honda City 1.5,Mumbai,2014,58000,Petrol,Manual,First,17,1497,118,5,5
3121,3121,Maruti Swift Dzire,Mumbai,2009,60000,Petrol,Manual,First,17,1298,85,5,2
3122,3122,BMW X1 sDrive,Hyderabad,2014,45000,Diesel,Automatic,First,17,1995,184,5,22
3123,3123,Tata Manza Aqua,Mumbai,2010,41195,Petrol,Manual,First,15,1368,90,5,1
3124,3124,Mahindra XUV500 W10,Chennai,2016,89000,Diesel,Manual,First,16,2179,140,7,14
3125,3125,Hyundai i10 Sportz,Bangalore,2009,60510,Petrol,Automatic,Second,16,1197,78,5,3
3126,3126,Maruti Baleno Sigma,Mumbai,2016,8500,Petrol,Manual,First,21,1197,83,5,5
3127,3127,Maruti Vitara Brezza,Kochi,2017,35981,Diesel,Manual,First,24,1248,88,5,10
3128,3128,Ford Figo Petrol,Mumbai,2012,23152,Petrol,Manual,First,15,1196,70,5,2
3129,3129,Maruti Wagon R,Delhi,2014,74663,CNG,Manual,First,33,998,67,5,3
3130,3130,Volkswagen Vento Sport,Mumbai,2014,61529,Petrol,Automatic,First,18,1197,103,5,6
3131,3131,Mahindra Xylo D2,Ahmedabad,2010,91596,Diesel,Manual,First,14,2489,93,7,2
3132,3132,Porsche Cayenne Base,Kochi,2019,14298,Petrol,Automatic,First,13,2995,340,5,2
3133,3133,Maruti Swift Dzire,Hyderabad,2013,83327,Diesel,Manual,First,19,1248,73,5,6
3134,3134,Volkswagen Polo 1.2,Hyderabad,2017,22857,Petrol,Manual,First,16,1199,74,5,7
3135,3135,Hyundai Verna 1.6,Chennai,2013,34620,Petrol,Manual,Second,17,1591,121,5,5
3136,3136,Hyundai i10 Era,Bangalore,2010,56000,Petrol,Manual,First,19,1086,68,5,3
3137,3137,Mercedes-Benz E-Class E250,Chennai,2014,81000,Diesel,Automatic,First,13,2143,204,5,23
3138,3138,Maruti Zen LXI,Jaipur,1998,95150,Petrol,Manual,Third,17,993,60,5,0
3139,3139,Hyundai i10 Sportz,Coimbatore,2013,32776,Petrol,Manual,First,20,1197,78,5,5
3140,3140,Honda Amaze S,Coimbatore,2016,51587,Diesel,Manual,First,25,1498,98,5,5
3141,3141,Tata Safari Storme,Jaipur,2016,36000,Diesel,Manual,First,14,2179,148,7,10
3142,3142,Honda Brio 1.2,Mumbai,2015,22000,Petrol,Manual,First,18,1198,86,5,4
3143,3143,Hyundai i20 Asta,Kochi,2010,30754,Petrol,Manual,First,17,1197,80,5,3
3144,3144,Volkswagen Jetta 2012-2014,Coimbatore,2018,37109,Petrol,Manual,First,14,1390,120,5,17
3145,3145,Honda Jazz Select,Kolkata,2010,45000,Petrol,Manual,First,16,1198,88,5,2
3146,3146,Hyundai Grand i10,Coimbatore,2017,33284,Petrol,Manual,First,18,1197,82,5,6
3147,3147,Jaguar XF Diesel,Coimbatore,2016,55115,Diesel,Automatic,First,14,2993,270,5,36
3148,3148,Jaguar XF 2.2,Kolkata,2014,18000,Diesel,Automatic,First,16,2179,187,5,26
3149,3149,Mahindra XUV500 W8,Coimbatore,2013,130790,Diesel,Manual,First,16,2179,140,7,9
3150,3150,Maruti S Cross,Delhi,2015,16607,Diesel,Manual,First,22,1598,118,5,8
3151,3151,Audi A4 2.0,Coimbatore,2015,32205,Diesel,Automatic,First,17,1968,174,5,25
3152,3152,Renault Duster 110PS,Delhi,2013,67000,Diesel,Manual,First,19,1461,108,5,5
3153,3153,Maruti Swift Dzire,Coimbatore,2014,57676,Petrol,Manual,First,19,1197,85,5,7
3154,3154,Volkswagen Polo Petrol,Mumbai,2012,41000,Petrol,Manual,First,16,1198,73,5,3
3155,3155,Maruti Omni 8,Jaipur,2012,65000,Petrol,Manual,First,19,796,35,8,2
3156,3156,Hyundai Grand i10,Coimbatore,2019,12153,Petrol,Automatic,First,18,1197,81,5,7
3157,3157,Tata Nano Twist,Hyderabad,2014,16810,Petrol,Manual,First,25,624,37,4,2
3158,3158,Audi A4 30,Kochi,2017,61221,Petrol,Automatic,First,17,1395,147,5,22
3159,3159,Volkswagen Polo 1.2,Mumbai,2015,22000,Petrol,Manual,First,16,1198,74,5,5
3160,3160,Maruti Alto 800,Chennai,2015,63714,Petrol,Manual,First,22,796,47,5,2
